t_s,mode,power_mw
0.0,infer,180.0
0.0005,idle_listen,45.0
0.1,infer,180.0
0.1005,idle_listen,45.0
0.2,infer,180.0
0.2005,idle_listen,45.0
0.3,infer,180.0
0.3005,idle_listen,45.0
0.4,infer,180.0
0.4005,idle_listen,45.0
0.5,infer,180.0
0.5005,idle_listen,45.0
0.6,infer,180.0
0.6005,idle_listen,45.0
0.7,infer,180.0
0.7005,idle_listen,45.0
0.8,infer,180.0
0.8005,idle_listen,45.0
0.9,infer,180.0
0.9005,idle_listen,45.0
1.0,infer,180.0
1.0005,idle_listen,45.0
1.1,infer,180.0
1.1005,idle_listen,45.0
1.2,infer,180.0
1.2005,idle_listen,45.0
1.3,infer,180.0
1.3005,idle_listen,45.0
1.4,infer,180.0
1.4005,idle_listen,45.0
1.5,infer,180.0
1.5005,idle_listen,45.0
1.6,infer,180.0
1.6005,idle_listen,45.0
1.7,infer,180.0
1.7005,idle_listen,45.0
1.8,infer,180.0
1.8005,idle_listen,45.0
1.9,infer,180.0
1.9005,idle_listen,45.0
2.0,infer,180.0
2.0005,idle_listen,45.0
2.1,infer,180.0
2.1005,idle_listen,45.0
2.2,infer,180.0
2.2005,idle_listen,45.0
2.3,infer,180.0
2.3005,idle_listen,45.0
2.4,infer,180.0
2.4005,idle_listen,45.0
2.5,infer,180.0
2.5005,idle_listen,45.0
2.6,infer,180.0
2.6005,idle_listen,45.0
2.7,infer,180.0
2.7005,idle_listen,45.0
2.8,infer,180.0
2.8005,idle_listen,45.0
2.9,infer,180.0
2.9005,idle_listen,45.0
3.0,infer,180.0
3.0005,idle_listen,45.0
3.1,infer,180.0
3.1005,idle_listen,45.0
3.2,infer,180.0
3.2005,idle_listen,45.0
3.3,infer,180.0
3.3005,idle_listen,45.0
3.4,infer,180.0
3.4005,idle_listen,45.0
3.5,infer,180.0
3.5005,idle_listen,45.0
3.6,infer,180.0
3.6005,idle_listen,45.0
3.7,infer,180.0
3.7005,idle_listen,45.0
3.8,infer,180.0
3.8005,idle_listen,45.0
3.9,infer,180.0
3.9005,idle_listen,45.0
4.0,infer,180.0
4.0005,idle_listen,45.0
4.1,infer,180.0
4.1005,idle_listen,45.0
4.2,infer,180.0
4.2005,idle_listen,45.0
4.3,infer,180.0
4.3005,idle_listen,45.0
4.4,infer,180.0
4.4005,idle_listen,45.0
4.5,infer,180.0
4.5005,idle_listen,45.0
4.6,infer,180.0
4.6005,idle_listen,45.0
4.7,infer,180.0
4.7005,idle_listen,45.0
4.8,infer,180.0
4.8005,idle_listen,45.0
4.9,infer,180.0
4.9005,idle_listen,45.0
5.0,infer,180.0
5.0005,idle_listen,45.0
5.1,infer,180.0
5.1005,idle_listen,45.0
5.2,infer,180.0
5.2005,idle_listen,45.0
5.3,infer,180.0
5.3005,idle_listen,45.0
5.4,infer,180.0
5.4005,idle_listen,45.0
5.5,infer,180.0
5.5005,idle_listen,45.0
5.6,infer,180.0
5.6005,idle_listen,45.0
5.7,infer,180.0
5.7005,idle_listen,45.0
5.8,infer,180.0
5.8005,idle_listen,45.0
5.9,infer,180.0
5.9005,idle_listen,45.0
6.0,infer,180.0
6.0005,idle_listen,45.0
6.1,infer,180.0
6.1005,idle_listen,45.0
6.2,infer,180.0
6.2005,idle_listen,45.0
6.3,infer,180.0
6.3005,idle_listen,45.0
6.4,infer,180.0
6.4005,idle_listen,45.0
6.5,infer,180.0
6.5005,idle_listen,45.0
6.6,infer,180.0
6.6005,idle_listen,45.0
6.7,infer,180.0
6.7005,idle_listen,45.0
6.8,infer,180.0
6.8005,idle_listen,45.0
6.9,infer,180.0
6.9005,idle_listen,45.0
7.0,infer,180.0
7.0005,idle_listen,45.0
7.1,infer,180.0
7.1005,idle_listen,45.0
7.2,infer,180.0
7.2005,idle_listen,45.0
7.3,infer,180.0
7.3005,idle_listen,45.0
7.4,infer,180.0
7.4005,idle_listen,45.0
7.5,infer,180.0
7.5005,idle_listen,45.0
7.6,infer,180.0
7.6005,idle_listen,45.0
7.7,infer,180.0
7.7005,idle_listen,45.0
7.8,infer,180.0
7.8005,idle_listen,45.0
7.9,infer,180.0
7.9005,idle_listen,45.0
8.0,infer,180.0
8.0005,idle_listen,45.0
8.1,infer,180.0
8.1005,idle_listen,45.0
8.2,infer,180.0
8.2005,idle_listen,45.0
8.3,infer,180.0
8.3005,idle_listen,45.0
8.4,infer,180.0
8.4005,idle_listen,45.0
8.5,infer,180.0
8.5005,idle_listen,45.0
8.6,infer,180.0
8.6005,idle_listen,45.0
8.7,infer,180.0
8.7005,idle_listen,45.0
8.8,infer,180.0
8.8005,idle_listen,45.0
8.9,infer,180.0
8.9005,idle_listen,45.0
9.0,infer,180.0
9.0005,idle_listen,45.0
9.1,infer,180.0
9.1005,idle_listen,45.0
9.2,infer,180.0
9.2005,idle_listen,45.0
9.3,infer,180.0
9.3005,idle_listen,45.0
9.4,infer,180.0
9.4005,idle_listen,45.0
9.5,infer,180.0
9.5005,idle_listen,45.0
9.6,infer,180.0
9.6005,idle_listen,45.0
9.7,infer,180.0
9.7005,idle_listen,45.0
9.8,infer,180.0
9.8005,idle_listen,45.0
9.9,infer,180.0
9.9005,idle_listen,45.0
10.0,infer,180.0
10.0005,idle_listen,45.0
10.1,infer,180.0
10.1005,idle_listen,45.0
10.2,infer,180.0
10.2005,idle_listen,45.0
10.3,infer,180.0
10.3005,idle_listen,45.0
10.4,infer,180.0
10.4005,idle_listen,45.0
10.5,infer,180.0
10.5005,idle_listen,45.0
10.6,infer,180.0
10.6005,idle_listen,45.0
10.7,infer,180.0
10.7005,idle_listen,45.0
10.8,infer,180.0
10.8005,idle_listen,45.0
10.9,infer,180.0
10.9005,idle_listen,45.0
11.0,infer,180.0
11.0005,idle_listen,45.0
11.1,infer,180.0
11.1005,idle_listen,45.0
11.2,infer,180.0
11.2005,idle_listen,45.0
11.3,infer,180.0
11.3005,idle_listen,45.0
11.4,infer,180.0
11.4005,idle_listen,45.0
11.5,infer,180.0
11.5005,idle_listen,45.0
11.6,infer,180.0
11.6005,idle_listen,45.0
11.7,infer,180.0
11.7005,idle_listen,45.0
11.8,infer,180.0
11.8005,idle_listen,45.0
11.9,infer,180.0
11.9005,idle_listen,45.0
12.0,infer,180.0
12.0005,idle_listen,45.0
12.1,infer,180.0
12.1005,idle_listen,45.0
12.2,infer,180.0
12.2005,idle_listen,45.0
12.3,infer,180.0
12.3005,idle_listen,45.0
12.4,infer,180.0
12.4005,idle_listen,45.0
12.5,infer,180.0
12.5005,idle_listen,45.0
12.6,infer,180.0
12.6005,idle_listen,45.0
12.7,infer,180.0
12.7005,idle_listen,45.0
12.8,infer,180.0
12.8005,idle_listen,45.0
12.9,infer,180.0
12.9005,idle_listen,45.0
13.0,infer,180.0
13.0005,idle_listen,45.0
13.1,infer,180.0
13.1005,idle_listen,45.0
13.2,infer,180.0
13.2005,idle_listen,45.0
13.3,infer,180.0
13.3005,idle_listen,45.0
13.4,infer,180.0
13.4005,idle_listen,45.0
13.5,infer,180.0
13.5005,idle_listen,45.0
13.6,infer,180.0
13.6005,idle_listen,45.0
13.7,infer,180.0
13.7005,idle_listen,45.0
13.8,infer,180.0
13.8005,idle_listen,45.0
13.9,infer,180.0
13.9005,idle_listen,45.0
14.0,infer,180.0
14.0005,idle_listen,45.0
14.1,infer,180.0
14.1005,idle_listen,45.0
14.2,infer,180.0
14.2005,idle_listen,45.0
14.3,infer,180.0
14.3005,idle_listen,45.0
14.4,infer,180.0
14.4005,idle_listen,45.0
14.5,infer,180.0
14.5005,idle_listen,45.0
14.6,infer,180.0
14.6005,idle_listen,45.0
14.7,infer,180.0
14.7005,idle_listen,45.0
14.8,infer,180.0
14.8005,idle_listen,45.0
14.9,infer,180.0
14.9005,idle_listen,45.0
15.0,infer,180.0
15.0005,idle_listen,45.0
15.1,infer,180.0
15.1005,idle_listen,45.0
15.2,infer,180.0
15.2005,idle_listen,45.0
15.3,infer,180.0
15.3005,idle_listen,45.0
15.4,infer,180.0
15.4005,idle_listen,45.0
15.5,infer,180.0
15.5005,idle_listen,45.0
15.6,infer,180.0
15.6005,idle_listen,45.0
15.7,infer,180.0
15.7005,idle_listen,45.0
15.8,infer,180.0
15.8005,idle_listen,45.0
15.9,infer,180.0
15.9005,idle_listen,45.0
16.0,infer,180.0
16.0005,idle_listen,45.0
16.1,infer,180.0
16.1005,idle_listen,45.0
16.2,infer,180.0
16.2005,idle_listen,45.0
16.3,infer,180.0
16.3005,idle_listen,45.0
16.4,infer,180.0
16.4005,idle_listen,45.0
16.5,infer,180.0
16.5005,idle_listen,45.0
16.6,infer,180.0
16.6005,idle_listen,45.0
16.7,infer,180.0
