t_s,mode,power_mw
0.0,burst,180.0
0.1,deep_sleep,2.5
60.0,burst,180.0
60.1,deep_sleep,2.5
120.0,burst,180.0
120.1,deep_sleep,2.5
180.0,burst,180.0
180.1,deep_sleep,2.5
240.0,burst,180.0
240.1,deep_sleep,2.5
300.0,burst,180.0
300.1,deep_sleep,2.5
360.0,burst,180.0
360.1,deep_sleep,2.5
420.0,burst,180.0
420.1,deep_sleep,2.5
480.0,burst,180.0
480.1,deep_sleep,2.5
540.0,burst,180.0
540.1,deep_sleep,2.5
600.0,burst,180.0
600.1,deep_sleep,2.5
660.0,burst,180.0
660.1,deep_sleep,2.5
720.0,burst,180.0
720.1,deep_sleep,2.5
780.0,burst,180.0
780.1,deep_sleep,2.5
840.0,burst,180.0
840.1,deep_sleep,2.5
900.0,burst,180.0
900.1,deep_sleep,2.5
960.0,burst,180.0
960.1,deep_sleep,2.5
1020.0,burst,180.0
1020.1,deep_sleep,2.5
1080.0,burst,180.0
1080.1,deep_sleep,2.5
1140.0,burst,180.0
1140.1,deep_sleep,2.5
1200.0,burst,180.0
1200.1,deep_sleep,2.5
1260.0,burst,180.0
1260.1,deep_sleep,2.5
1320.0,burst,180.0
1320.1,deep_sleep,2.5
1380.0,burst,180.0
1380.1,deep_sleep,2.5
1440.0,burst,180.0
1440.1,deep_sleep,2.5
1500.0,burst,180.0
1500.1,deep_sleep,2.5
1560.0,burst,180.0
1560.1,deep_sleep,2.5
1620.0,burst,180.0
1620.1,deep_sleep,2.5
1680.0,burst,180.0
1680.1,deep_sleep,2.5
1740.0,burst,180.0
1740.1,deep_sleep,2.5
1800.0,burst,180.0
1800.1,deep_sleep,2.5
1860.0,burst,180.0
1860.1,deep_sleep,2.5
1920.0,burst,180.0
1920.1,deep_sleep,2.5
1980.0,burst,180.0
1980.1,deep_sleep,2.5
2040.0,burst,180.0
2040.1,deep_sleep,2.5
2100.0,burst,180.0
2100.1,deep_sleep,2.5
2160.0,burst,180.0
2160.1,deep_sleep,2.5
2220.0,burst,180.0
2220.1,deep_sleep,2.5
2280.0,burst,180.0
2280.1,deep_sleep,2.5
2340.0,burst,180.0
2340.1,deep_sleep,2.5
2400.0,burst,180.0
2400.1,deep_sleep,2.5
2460.0,burst,180.0
2460.1,deep_sleep,2.5
2520.0,burst,180.0
2520.1,deep_sleep,2.5
2580.0,burst,180.0
2580.1,deep_sleep,2.5
2640.0,burst,180.0
2640.1,deep_sleep,2.5
2700.0,burst,180.0
2700.1,deep_sleep,2.5
2760.0,burst,180.0
2760.1,deep_sleep,2.5
2820.0,burst,180.0
2820.1,deep_sleep,2.5
2880.0,burst,180.0
2880.1,deep_sleep,2.5
2940.0,burst,180.0
2940.1,deep_sleep,2.5
3000.0,burst,180.0
3000.1,deep_sleep,2.5
3060.0,burst,180.0
3060.1,deep_sleep,2.5
3120.0,burst,180.0
3120.1,deep_sleep,2.5
3180.0,burst,180.0
3180.1,deep_sleep,2.5
3240.0,burst,180.0
3240.1,deep_sleep,2.5
3300.0,burst,180.0
3300.1,deep_sleep,2.5
3360.0,burst,180.0
3360.1,deep_sleep,2.5
3420.0,burst,180.0
3420.1,deep_sleep,2.5
3480.0,burst,180.0
3480.1,deep_sleep,2.5
3540.0,burst,180.0
3540.1,deep_sleep,2.5
